drug1,drug2,cell,label
5-FU,MK-8669,RKO,1
5-FU,MK-8669,RPMI7951,1
5-FU,PD325901,A427,1
5-FU,PD325901,LOVO,0
5-FU,PD325901,NCIH460,1
5-FU,SORAFENIB,HT29,0
5-FU,SORAFENIB,LOVO,0
5-FU,SORAFENIB,NCIH2122,0
5-FU,SORAFENIB,NCIH23,0
5-FU,SORAFENIB,NCIH460,0
5-FU,SORAFENIB,RPMI7951,0
5-FU,SUNITINIB,RPMI7951,0
5-FU,ZOLINZA,A427,0
5-FU,ZOLINZA,HT29,0
5-FU,ZOLINZA,LOVO,0
5-FU,ZOLINZA,NCIH2122,1
5-FU,ZOLINZA,NCIH23,0
5-FU,ZOLINZA,RKO,1
5-FU,ZOLINZA,RPMI7951,0
ABT-888,GELDANAMYCIN,HT29,0
ABT-888,GELDANAMYCIN,LOVO,1
ABT-888,GELDANAMYCIN,NCIH23,0
ABT-888,GELDANAMYCIN,NCIH460,0
ABT-888,GELDANAMYCIN,RKO,1
ABT-888,MK-8669,NCIH23,1
ABT-888,MK-8669,NCIH460,0
ABT-888,MK-8669,RPMI7951,1
ABT-888,SN-38,LOVO,0
ABT-888,SN-38,NCIH2122,1
ABT-888,SN-38,NCIH23,1
ABT-888,SN-38,NCIH460,1
ABT-888,SN-38,RKO,1
ABT-888,SN-38,RPMI7951,1
ABT-888,SORAFENIB,A427,1
ABT-888,SORAFENIB,NCIH2122,1
ABT-888,SORAFENIB,NCIH23,1
ABT-888,SORAFENIB,NCIH460,1
ABT-888,SORAFENIB,RKO,1
ABT-888,SORAFENIB,RPMI7951,1
ABT-888,TOPOTECAN,A427,0
ABT-888,TOPOTECAN,HT29,0
ABT-888,TOPOTECAN,LOVO,0
ABT-888,TOPOTECAN,NCIH2122,0
ABT-888,TOPOTECAN,NCIH23,0
ABT-888,TOPOTECAN,NCIH460,0
ABT-888,TOPOTECAN,RKO,0
ABT-888,TOPOTECAN,RPMI7951,0
AZD1775,ABT-888,A427,0
AZD1775,ABT-888,LOVO,0
AZD1775,ABT-888,NCIH2122,0
AZD1775,ABT-888,NCIH23,0
AZD1775,ABT-888,NCIH460,0
AZD1775,ABT-888,RKO,0
AZD1775,ABT-888,RPMI7951,0
AZD1775,BORTEZOMIB,A427,0
AZD1775,BORTEZOMIB,HT29,0
AZD1775,BORTEZOMIB,LOVO,0
AZD1775,BORTEZOMIB,NCIH2122,0
AZD1775,BORTEZOMIB,NCIH23,0
AZD1775,BORTEZOMIB,RKO,0
AZD1775,BORTEZOMIB,RPMI7951,0
AZD1775,DASATINIB,A427,1
AZD1775,DASATINIB,HT29,1
AZD1775,DASATINIB,LOVO,1
AZD1775,DASATINIB,NCIH2122,0
AZD1775,DASATINIB,NCIH23,1
AZD1775,DASATINIB,NCIH460,1
AZD1775,DASATINIB,RKO,1
AZD1775,DASATINIB,RPMI7951,1
AZD1775,ERLOTINIB,A427,0
AZD1775,ERLOTINIB,LOVO,1
AZD1775,ERLOTINIB,NCIH23,0
AZD1775,ERLOTINIB,NCIH460,0
AZD1775,ERLOTINIB,RPMI7951,1
AZD1775,GELDANAMYCIN,A427,0
AZD1775,GELDANAMYCIN,HT29,0
AZD1775,GELDANAMYCIN,LOVO,0
AZD1775,GELDANAMYCIN,NCIH2122,0
AZD1775,GELDANAMYCIN,NCIH23,0
AZD1775,GELDANAMYCIN,NCIH460,0
AZD1775,GELDANAMYCIN,RPMI7951,0
AZD1775,LAPATINIB,A427,0
AZD1775,LAPATINIB,HT29,0
AZD1775,LAPATINIB,LOVO,1
AZD1775,LAPATINIB,NCIH460,0
AZD1775,LAPATINIB,RPMI7951,1
AZD1775,MK-4827,NCIH2122,1
AZD1775,MK-4827,RKO,1
AZD1775,MK-4827,RPMI7951,1
AZD1775,MK-5108,A427,0
AZD1775,MK-5108,NCIH2122,0
AZD1775,MK-5108,NCIH460,0
AZD1775,MK-5108,RPMI7951,0
AZD1775,MK-8669,A427,1
AZD1775,MK-8669,HT29,1
AZD1775,MK-8669,LOVO,1
AZD1775,MK-8669,NCIH2122,1
AZD1775,MK-8669,NCIH23,1
AZD1775,MK-8669,NCIH460,1
AZD1775,MK-8669,RKO,1
AZD1775,MK-8669,RPMI7951,1
AZD1775,PD325901,A427,1
AZD1775,PD325901,RKO,1
AZD1775,PD325901,RPMI7951,1
AZD1775,SN-38,NCIH2122,0
AZD1775,SN-38,NCIH23,0
AZD1775,SN-38,NCIH460,0
AZD1775,SN-38,RKO,0
AZD1775,SORAFENIB,HT29,0
AZD1775,SORAFENIB,LOVO,0
AZD1775,SORAFENIB,NCIH2122,0
AZD1775,SORAFENIB,NCIH23,0
AZD1775,SORAFENIB,RKO,0
AZD1775,SORAFENIB,RPMI7951,0
AZD1775,TOPOTECAN,A427,1
AZD1775,TOPOTECAN,HT29,1
AZD1775,TOPOTECAN,NCIH23,1
AZD1775,TOPOTECAN,NCIH460,0
AZD1775,TOPOTECAN,RKO,0
AZD1775,TOPOTECAN,RPMI7951,0
BORTEZOMIB,ABT-888,A427,0
BORTEZOMIB,ABT-888,HT29,0
BORTEZOMIB,ABT-888,NCIH2122,1
BORTEZOMIB,ABT-888,NCIH23,0
BORTEZOMIB,DASATINIB,A427,1
BORTEZOMIB,DASATINIB,HT29,0
BORTEZOMIB,DASATINIB,LOVO,1
BORTEZOMIB,DASATINIB,NCIH2122,0
BORTEZOMIB,DASATINIB,NCIH23,0
BORTEZOMIB,DASATINIB,NCIH460,1
BORTEZOMIB,GELDANAMYCIN,HT29,0
BORTEZOMIB,GELDANAMYCIN,NCIH2122,0
BORTEZOMIB,GELDANAMYCIN,NCIH23,0
BORTEZOMIB,GELDANAMYCIN,NCIH460,0
BORTEZOMIB,GELDANAMYCIN,RPMI7951,0
BORTEZOMIB,MK-8669,A427,0
BORTEZOMIB,MK-8669,HT29,0
BORTEZOMIB,MK-8669,LOVO,1
BORTEZOMIB,MK-8669,NCIH2122,1
BORTEZOMIB,SN-38,A427,0
BORTEZOMIB,SN-38,HT29,0
BORTEZOMIB,SN-38,LOVO,1
BORTEZOMIB,SN-38,NCIH2122,0
BORTEZOMIB,SN-38,NCIH23,0
BORTEZOMIB,SN-38,NCIH460,1
BORTEZOMIB,SN-38,RKO,1
BORTEZOMIB,SN-38,RPMI7951,0
BORTEZOMIB,SORAFENIB,A427,0
BORTEZOMIB,SORAFENIB,HT29,0
BORTEZOMIB,SORAFENIB,LOVO,0
BORTEZOMIB,SORAFENIB,NCIH2122,0
BORTEZOMIB,SORAFENIB,NCIH23,0
BORTEZOMIB,SORAFENIB,NCIH460,0
BORTEZOMIB,SORAFENIB,RKO,0
BORTEZOMIB,SORAFENIB,RPMI7951,0
BORTEZOMIB,TOPOTECAN,A427,0
BORTEZOMIB,TOPOTECAN,HT29,0
BORTEZOMIB,TOPOTECAN,NCIH2122,0
BORTEZOMIB,TOPOTECAN,NCIH23,0
BORTEZOMIB,TOPOTECAN,NCIH460,0
BORTEZOMIB,TOPOTECAN,RKO,0
BORTEZOMIB,TOPOTECAN,RPMI7951,0
CYCLOPHOSPHAMIDE,ABT-888,A427,0
CYCLOPHOSPHAMIDE,ABT-888,LOVO,0
CYCLOPHOSPHAMIDE,ABT-888,NCIH460,1
CYCLOPHOSPHAMIDE,ABT-888,RKO,1
CYCLOPHOSPHAMIDE,ABT-888,RPMI7951,0
CYCLOPHOSPHAMIDE,AZD1775,LOVO,0
CYCLOPHOSPHAMIDE,AZD1775,NCIH23,0
CYCLOPHOSPHAMIDE,BORTEZOMIB,A427,0
CYCLOPHOSPHAMIDE,BORTEZOMIB,HT29,0
CYCLOPHOSPHAMIDE,BORTEZOMIB,NCIH2122,1
CYCLOPHOSPHAMIDE,BORTEZOMIB,NCIH460,1
CYCLOPHOSPHAMIDE,BORTEZOMIB,RKO,1
CYCLOPHOSPHAMIDE,DASATINIB,A427,1
CYCLOPHOSPHAMIDE,DASATINIB,HT29,1
CYCLOPHOSPHAMIDE,DASATINIB,LOVO,1
CYCLOPHOSPHAMIDE,DASATINIB,NCIH2122,0
CYCLOPHOSPHAMIDE,DASATINIB,NCIH460,0
CYCLOPHOSPHAMIDE,ERLOTINIB,LOVO,0
CYCLOPHOSPHAMIDE,ERLOTINIB,NCIH23,0
CYCLOPHOSPHAMIDE,ERLOTINIB,NCIH460,0
CYCLOPHOSPHAMIDE,ERLOTINIB,RKO,0
CYCLOPHOSPHAMIDE,ERLOTINIB,RPMI7951,0
CYCLOPHOSPHAMIDE,GELDANAMYCIN,A427,0
CYCLOPHOSPHAMIDE,GELDANAMYCIN,NCIH23,0
CYCLOPHOSPHAMIDE,GELDANAMYCIN,RKO,0
CYCLOPHOSPHAMIDE,GELDANAMYCIN,RPMI7951,0
CYCLOPHOSPHAMIDE,L778123,LOVO,0
CYCLOPHOSPHAMIDE,L778123,NCIH460,0
CYCLOPHOSPHAMIDE,L778123,RKO,1
CYCLOPHOSPHAMIDE,L778123,RPMI7951,1
CYCLOPHOSPHAMIDE,LAPATINIB,A427,0
CYCLOPHOSPHAMIDE,LAPATINIB,LOVO,0
CYCLOPHOSPHAMIDE,LAPATINIB,NCIH2122,0
CYCLOPHOSPHAMIDE,LAPATINIB,NCIH23,0
CYCLOPHOSPHAMIDE,LAPATINIB,NCIH460,0
CYCLOPHOSPHAMIDE,LAPATINIB,RKO,0
CYCLOPHOSPHAMIDE,LAPATINIB,RPMI7951,0
CYCLOPHOSPHAMIDE,MK-4827,A427,0
CYCLOPHOSPHAMIDE,MK-4827,LOVO,0
CYCLOPHOSPHAMIDE,MK-4827,NCIH2122,1
CYCLOPHOSPHAMIDE,MK-4827,NCIH23,0
CYCLOPHOSPHAMIDE,MK-4827,NCIH460,0
CYCLOPHOSPHAMIDE,MK-4827,RPMI7951,0
CYCLOPHOSPHAMIDE,MK-5108,LOVO,0
CYCLOPHOSPHAMIDE,MK-5108,NCIH460,0
CYCLOPHOSPHAMIDE,MK-5108,RKO,1
CYCLOPHOSPHAMIDE,MK-8669,A427,1
CYCLOPHOSPHAMIDE,MK-8669,NCIH2122,1
CYCLOPHOSPHAMIDE,MK-8669,NCIH460,1
CYCLOPHOSPHAMIDE,MK-8669,RKO,1
CYCLOPHOSPHAMIDE,MK-8669,RPMI7951,1
CYCLOPHOSPHAMIDE,PD325901,A427,0
CYCLOPHOSPHAMIDE,PD325901,LOVO,0
CYCLOPHOSPHAMIDE,PD325901,NCIH460,0
CYCLOPHOSPHAMIDE,PD325901,RKO,0
CYCLOPHOSPHAMIDE,PD325901,RPMI7951,0
CYCLOPHOSPHAMIDE,SORAFENIB,LOVO,0
CYCLOPHOSPHAMIDE,SORAFENIB,RPMI7951,0
CYCLOPHOSPHAMIDE,SUNITINIB,NCIH2122,1
CYCLOPHOSPHAMIDE,SUNITINIB,RPMI7951,0
CYCLOPHOSPHAMIDE,ZOLINZA,A427,0
CYCLOPHOSPHAMIDE,ZOLINZA,HT29,1
CYCLOPHOSPHAMIDE,ZOLINZA,NCIH2122,1
CYCLOPHOSPHAMIDE,ZOLINZA,RKO,1
CYCLOPHOSPHAMIDE,ZOLINZA,RPMI7951,1
DASATINIB,ABT-888,A427,1
DASATINIB,ABT-888,LOVO,1
DASATINIB,ABT-888,NCIH2122,0
DASATINIB,ABT-888,RKO,0
DASATINIB,GELDANAMYCIN,A427,1
DASATINIB,GELDANAMYCIN,HT29,1
DASATINIB,GELDANAMYCIN,LOVO,1
DASATINIB,GELDANAMYCIN,NCIH2122,0
DASATINIB,GELDANAMYCIN,NCIH23,1
DASATINIB,GELDANAMYCIN,RPMI7951,1
DASATINIB,MK-8669,A427,1
DASATINIB,MK-8669,HT29,1
DASATINIB,MK-8669,LOVO,1
DASATINIB,MK-8669,NCIH2122,0
DASATINIB,MK-8669,NCIH23,1
DASATINIB,MK-8669,NCIH460,1
DASATINIB,MK-8669,RKO,1
DASATINIB,MK-8669,RPMI7951,1
DASATINIB,SN-38,A427,1
DASATINIB,SN-38,HT29,1
DASATINIB,SN-38,LOVO,1
DASATINIB,SN-38,NCIH2122,0
DASATINIB,SN-38,NCIH23,1
DASATINIB,SN-38,NCIH460,1
DASATINIB,SN-38,RKO,1
DASATINIB,SN-38,RPMI7951,1
DASATINIB,SORAFENIB,A427,1
DASATINIB,SORAFENIB,HT29,1
DASATINIB,SORAFENIB,LOVO,1
DASATINIB,SORAFENIB,NCIH23,1
DASATINIB,SORAFENIB,NCIH460,1
DASATINIB,SORAFENIB,RKO,1
DASATINIB,TOPOTECAN,A427,1
DASATINIB,TOPOTECAN,LOVO,1
DASATINIB,TOPOTECAN,NCIH2122,0
DASATINIB,TOPOTECAN,NCIH23,0
DASATINIB,TOPOTECAN,NCIH460,0
DASATINIB,TOPOTECAN,RKO,1
DEXAMETHASONE,ABT-888,A427,0
DEXAMETHASONE,ABT-888,HT29,0
DEXAMETHASONE,ABT-888,LOVO,0
DEXAMETHASONE,ABT-888,NCIH2122,0
DEXAMETHASONE,ABT-888,NCIH460,0
DEXAMETHASONE,ABT-888,RKO,0
DEXAMETHASONE,ABT-888,RPMI7951,0
DEXAMETHASONE,AZD1775,HT29,1
DEXAMETHASONE,AZD1775,NCIH2122,1
DEXAMETHASONE,AZD1775,RPMI7951,0
DEXAMETHASONE,BORTEZOMIB,HT29,0
DEXAMETHASONE,BORTEZOMIB,NCIH2122,1
DEXAMETHASONE,BORTEZOMIB,NCIH23,0
DEXAMETHASONE,BORTEZOMIB,NCIH460,1
DEXAMETHASONE,BORTEZOMIB,RKO,1
DEXAMETHASONE,BORTEZOMIB,RPMI7951,0
DEXAMETHASONE,DASATINIB,LOVO,1
DEXAMETHASONE,DASATINIB,NCIH2122,1
DEXAMETHASONE,DASATINIB,NCIH460,0
DEXAMETHASONE,DASATINIB,RPMI7951,0
DEXAMETHASONE,ERLOTINIB,A427,0
DEXAMETHASONE,ERLOTINIB,LOVO,1
DEXAMETHASONE,ERLOTINIB,NCIH2122,1
DEXAMETHASONE,ERLOTINIB,NCIH23,0
DEXAMETHASONE,ERLOTINIB,NCIH460,0
DEXAMETHASONE,ERLOTINIB,RKO,0
DEXAMETHASONE,ERLOTINIB,RPMI7951,0
DEXAMETHASONE,GELDANAMYCIN,HT29,0
DEXAMETHASONE,GELDANAMYCIN,NCIH2122,0
DEXAMETHASONE,GELDANAMYCIN,NCIH23,0
DEXAMETHASONE,GELDANAMYCIN,RPMI7951,0
DEXAMETHASONE,L778123,LOVO,0
DEXAMETHASONE,L778123,NCIH2122,0
DEXAMETHASONE,L778123,RPMI7951,0
DEXAMETHASONE,LAPATINIB,A427,0
DEXAMETHASONE,LAPATINIB,HT29,1
DEXAMETHASONE,LAPATINIB,LOVO,1
DEXAMETHASONE,LAPATINIB,NCIH2122,1
DEXAMETHASONE,LAPATINIB,NCIH460,0
DEXAMETHASONE,LAPATINIB,RKO,0
DEXAMETHASONE,LAPATINIB,RPMI7951,0
DEXAMETHASONE,MK-4827,A427,0
DEXAMETHASONE,MK-4827,HT29,1
DEXAMETHASONE,MK-4827,LOVO,1
DEXAMETHASONE,MK-4827,NCIH2122,1
DEXAMETHASONE,MK-4827,RPMI7951,0
DEXAMETHASONE,MK-5108,A427,0
DEXAMETHASONE,MK-5108,HT29,1
DEXAMETHASONE,MK-5108,NCIH2122,0
DEXAMETHASONE,MK-5108,NCIH460,0
DEXAMETHASONE,MK-5108,RKO,1
DEXAMETHASONE,MK-5108,RPMI7951,0
DEXAMETHASONE,MK-8669,A427,1
DEXAMETHASONE,MK-8669,HT29,1
DEXAMETHASONE,MK-8669,LOVO,1
DEXAMETHASONE,MK-8669,NCIH2122,1
DEXAMETHASONE,MK-8669,NCIH23,1
DEXAMETHASONE,MK-8669,RKO,1
DEXAMETHASONE,MK-8669,RPMI7951,1
DEXAMETHASONE,PD325901,A427,0
DEXAMETHASONE,PD325901,HT29,0
DEXAMETHASONE,PD325901,NCIH2122,1
DEXAMETHASONE,PD325901,NCIH23,0
DEXAMETHASONE,PD325901,RPMI7951,0
DEXAMETHASONE,SORAFENIB,NCIH460,1
DEXAMETHASONE,SORAFENIB,RPMI7951,0
DEXAMETHASONE,SUNITINIB,LOVO,1
DEXAMETHASONE,SUNITINIB,NCIH2122,1
DEXAMETHASONE,SUNITINIB,RPMI7951,0
DEXAMETHASONE,ZOLINZA,A427,0
DEXAMETHASONE,ZOLINZA,HT29,1
DEXAMETHASONE,ZOLINZA,LOVO,1
DEXAMETHASONE,ZOLINZA,RKO,1
DEXAMETHASONE,ZOLINZA,RPMI7951,0
DOXORUBICIN,ABT-888,NCIH2122,0
DOXORUBICIN,ABT-888,NCIH23,0
DOXORUBICIN,AZD1775,A427,0
DOXORUBICIN,AZD1775,HT29,1
DOXORUBICIN,AZD1775,NCIH2122,0
DOXORUBICIN,AZD1775,NCIH23,0
DOXORUBICIN,AZD1775,RPMI7951,0
DOXORUBICIN,BORTEZOMIB,A427,0
DOXORUBICIN,BORTEZOMIB,HT29,0
DOXORUBICIN,BORTEZOMIB,NCIH2122,0
DOXORUBICIN,BORTEZOMIB,NCIH23,0
DOXORUBICIN,BORTEZOMIB,NCIH460,0
DOXORUBICIN,BORTEZOMIB,RKO,0
DOXORUBICIN,BORTEZOMIB,RPMI7951,0
DOXORUBICIN,DASATINIB,A427,1
DOXORUBICIN,DASATINIB,HT29,1
DOXORUBICIN,DASATINIB,LOVO,1
DOXORUBICIN,DASATINIB,NCIH2122,0
DOXORUBICIN,DASATINIB,NCIH460,1
DOXORUBICIN,DASATINIB,RKO,1
DOXORUBICIN,ERLOTINIB,A427,0
DOXORUBICIN,ERLOTINIB,LOVO,1
DOXORUBICIN,ERLOTINIB,NCIH2122,1
DOXORUBICIN,ERLOTINIB,RKO,1
DOXORUBICIN,ERLOTINIB,RPMI7951,0
DOXORUBICIN,GELDANAMYCIN,HT29,0
DOXORUBICIN,GELDANAMYCIN,LOVO,0
DOXORUBICIN,GELDANAMYCIN,NCIH2122,0
DOXORUBICIN,GELDANAMYCIN,NCIH23,0
DOXORUBICIN,GELDANAMYCIN,RKO,0
DOXORUBICIN,GELDANAMYCIN,RPMI7951,0
DOXORUBICIN,L778123,A427,0
DOXORUBICIN,L778123,HT29,1
DOXORUBICIN,L778123,LOVO,0
DOXORUBICIN,L778123,NCIH2122,0
DOXORUBICIN,L778123,NCIH23,0
DOXORUBICIN,L778123,RKO,0
DOXORUBICIN,L778123,RPMI7951,0
DOXORUBICIN,LAPATINIB,A427,0
DOXORUBICIN,LAPATINIB,HT29,0
DOXORUBICIN,LAPATINIB,LOVO,1
DOXORUBICIN,LAPATINIB,NCIH23,1
DOXORUBICIN,LAPATINIB,RKO,1
DOXORUBICIN,MK-4827,A427,0
DOXORUBICIN,MK-4827,HT29,0
DOXORUBICIN,MK-4827,LOVO,0
DOXORUBICIN,MK-4827,NCIH2122,0
DOXORUBICIN,MK-4827,NCIH23,0
DOXORUBICIN,MK-4827,RKO,0
DOXORUBICIN,MK-4827,RPMI7951,0
DOXORUBICIN,MK-5108,A427,0
DOXORUBICIN,MK-5108,HT29,1
DOXORUBICIN,MK-5108,LOVO,0
DOXORUBICIN,MK-5108,NCIH2122,0
DOXORUBICIN,MK-5108,NCIH460,0
DOXORUBICIN,MK-5108,RKO,0
DOXORUBICIN,MK-8669,A427,1
DOXORUBICIN,MK-8669,HT29,1
DOXORUBICIN,MK-8669,LOVO,1
DOXORUBICIN,MK-8669,NCIH2122,0
DOXORUBICIN,MK-8669,NCIH23,0
DOXORUBICIN,MK-8669,NCIH460,1
DOXORUBICIN,MK-8669,RKO,1
DOXORUBICIN,MK-8669,RPMI7951,0
DOXORUBICIN,PD325901,NCIH2122,0
DOXORUBICIN,PD325901,NCIH460,1
DOXORUBICIN,PD325901,RKO,1
DOXORUBICIN,PD325901,RPMI7951,0
DOXORUBICIN,SORAFENIB,A427,0
DOXORUBICIN,SORAFENIB,HT29,0
DOXORUBICIN,SORAFENIB,LOVO,0
DOXORUBICIN,SORAFENIB,NCIH2122,0
DOXORUBICIN,SORAFENIB,NCIH23,0
DOXORUBICIN,SORAFENIB,NCIH460,0
DOXORUBICIN,SORAFENIB,RKO,0
DOXORUBICIN,SORAFENIB,RPMI7951,0
DOXORUBICIN,SUNITINIB,HT29,0
DOXORUBICIN,SUNITINIB,LOVO,0
DOXORUBICIN,SUNITINIB,NCIH2122,0
DOXORUBICIN,SUNITINIB,NCIH23,0
DOXORUBICIN,SUNITINIB,NCIH460,0
DOXORUBICIN,SUNITINIB,RKO,0
DOXORUBICIN,SUNITINIB,RPMI7951,0
DOXORUBICIN,ZOLINZA,A427,0
DOXORUBICIN,ZOLINZA,HT29,1
DOXORUBICIN,ZOLINZA,NCIH23,0
DOXORUBICIN,ZOLINZA,NCIH460,1
DOXORUBICIN,ZOLINZA,RKO,0
DOXORUBICIN,ZOLINZA,RPMI7951,0
ERLOTINIB,ABT-888,A427,0
ERLOTINIB,ABT-888,HT29,0
ERLOTINIB,ABT-888,NCIH23,0
ERLOTINIB,ABT-888,NCIH460,0
ERLOTINIB,ABT-888,RKO,0
ERLOTINIB,ABT-888,RPMI7951,0
ERLOTINIB,BORTEZOMIB,A427,0
ERLOTINIB,BORTEZOMIB,HT29,0
ERLOTINIB,BORTEZOMIB,NCIH2122,0
ERLOTINIB,BORTEZOMIB,NCIH23,0
ERLOTINIB,BORTEZOMIB,RKO,1
ERLOTINIB,BORTEZOMIB,RPMI7951,0
ERLOTINIB,DASATINIB,A427,1
ERLOTINIB,DASATINIB,HT29,1
ERLOTINIB,DASATINIB,LOVO,1
ERLOTINIB,DASATINIB,NCIH2122,0
ERLOTINIB,DASATINIB,NCIH23,1
ERLOTINIB,DASATINIB,NCIH460,1
ERLOTINIB,DASATINIB,RKO,1
ERLOTINIB,DASATINIB,RPMI7951,1
ERLOTINIB,GELDANAMYCIN,A427,0
ERLOTINIB,GELDANAMYCIN,LOVO,0
ERLOTINIB,GELDANAMYCIN,NCIH2122,1
ERLOTINIB,GELDANAMYCIN,NCIH460,1
ERLOTINIB,GELDANAMYCIN,RPMI7951,0
ERLOTINIB,MK-8669,A427,1
ERLOTINIB,MK-8669,HT29,1
ERLOTINIB,MK-8669,LOVO,1
ERLOTINIB,MK-8669,NCIH2122,1
ERLOTINIB,MK-8669,NCIH23,1
ERLOTINIB,MK-8669,NCIH460,1
ERLOTINIB,MK-8669,RKO,1
ERLOTINIB,MK-8669,RPMI7951,1
ERLOTINIB,PD325901,HT29,1
ERLOTINIB,PD325901,LOVO,1
ERLOTINIB,PD325901,NCIH2122,1
ERLOTINIB,PD325901,NCIH460,1
ERLOTINIB,SN-38,HT29,1
ERLOTINIB,SN-38,LOVO,1
ERLOTINIB,SN-38,NCIH2122,1
ERLOTINIB,SN-38,NCIH23,1
ERLOTINIB,SN-38,NCIH460,1
ERLOTINIB,SN-38,RKO,1
ERLOTINIB,SN-38,RPMI7951,1
ERLOTINIB,SORAFENIB,A427,1
ERLOTINIB,SORAFENIB,LOVO,0
ERLOTINIB,SORAFENIB,NCIH460,1
ERLOTINIB,SORAFENIB,RKO,1
ERLOTINIB,SORAFENIB,RPMI7951,0
ERLOTINIB,TOPOTECAN,A427,1
ERLOTINIB,TOPOTECAN,HT29,1
ERLOTINIB,TOPOTECAN,LOVO,1
ERLOTINIB,TOPOTECAN,NCIH2122,1
ERLOTINIB,TOPOTECAN,NCIH23,1
ERLOTINIB,TOPOTECAN,NCIH460,1
ERLOTINIB,TOPOTECAN,RKO,1
ERLOTINIB,TOPOTECAN,RPMI7951,1
ETOPOSIDE,ABT-888,A427,0
ETOPOSIDE,ABT-888,LOVO,0
ETOPOSIDE,ABT-888,NCIH2122,1
ETOPOSIDE,ABT-888,NCIH23,0
ETOPOSIDE,ABT-888,NCIH460,0
ETOPOSIDE,ABT-888,RPMI7951,0
ETOPOSIDE,AZD1775,A427,0
ETOPOSIDE,AZD1775,HT29,1
ETOPOSIDE,AZD1775,NCIH23,0
ETOPOSIDE,BORTEZOMIB,A427,0
ETOPOSIDE,BORTEZOMIB,HT29,0
ETOPOSIDE,BORTEZOMIB,NCIH2122,0
ETOPOSIDE,BORTEZOMIB,NCIH23,0
ETOPOSIDE,BORTEZOMIB,NCIH460,0
ETOPOSIDE,BORTEZOMIB,RKO,0
ETOPOSIDE,BORTEZOMIB,RPMI7951,0
ETOPOSIDE,DASATINIB,A427,1
ETOPOSIDE,DASATINIB,HT29,1
ETOPOSIDE,DASATINIB,LOVO,1
ETOPOSIDE,DASATINIB,NCIH2122,0
ETOPOSIDE,DASATINIB,NCIH23,0
ETOPOSIDE,DASATINIB,NCIH460,1
ETOPOSIDE,DASATINIB,RKO,1
ETOPOSIDE,DASATINIB,RPMI7951,1
ETOPOSIDE,ERLOTINIB,HT29,1
ETOPOSIDE,ERLOTINIB,LOVO,1
ETOPOSIDE,ERLOTINIB,NCIH2122,1
ETOPOSIDE,ERLOTINIB,NCIH23,0
ETOPOSIDE,ERLOTINIB,NCIH460,1
ETOPOSIDE,ERLOTINIB,RKO,1
ETOPOSIDE,ERLOTINIB,RPMI7951,0
ETOPOSIDE,GELDANAMYCIN,LOVO,0
ETOPOSIDE,GELDANAMYCIN,NCIH2122,0
ETOPOSIDE,GELDANAMYCIN,NCIH23,0
ETOPOSIDE,GELDANAMYCIN,RKO,0
ETOPOSIDE,GELDANAMYCIN,RPMI7951,0
