drug1,drug2,cell,label
Amifostine,Azacitidine,NCI-H460,0
Amifostine,Azacitidine,PC-3,0
Amifostine,Azacitidine,RPMI-8226,0
Amifostine,Azacitidine,T-47D,0
Amifostine,Azacitidine,UO-31,0
Amifostine,Megestrol,HS 578T,1
Amifostine,Megestrol,HT29,1
Amifostine,Megestrol,IGROV1,0
Amifostine,Megestrol,LOX IMVI,0
Amifostine,Megestrol,MCF7,0
Amifostine,Megestrol,NCI-H460,0
Amifostine,Megestrol,PC-3,0
Amifostine,Megestrol,SK-MEL-2,0
Amifostine,Megestrol,T-47D,1
Amifostine,Megestrol,UO-31,0
Amifostine,Cladribine,HS 578T,1
Amifostine,Cladribine,HT29,0
Amifostine,Cladribine,IGROV1,1
Amifostine,Cladribine,LOX IMVI,0
Amifostine,Cladribine,MCF7,0
Amifostine,Cladribine,NCI-H460,1
Amifostine,Cladribine,PC-3,0
Amifostine,Cladribine,RPMI-8226,0
Amifostine,Cladribine,T-47D,0
Amifostine,Cladribine,UO-31,0
Amifostine,Paclitaxel,HS 578T,0
Amifostine,Paclitaxel,HT29,0
Amifostine,Paclitaxel,IGROV1,0
Amifostine,Paclitaxel,LOX IMVI,0
Amifostine,Paclitaxel,MCF7,0
Amifostine,Paclitaxel,NCI-H460,0
Amifostine,Paclitaxel,PC-3,0
Amifostine,Paclitaxel,RPMI-8226,0
Amifostine,Paclitaxel,SK-MEL-2,0
Amifostine,Paclitaxel,T-47D,0
Amifostine,Paclitaxel,UO-31,0
Amifostine,Etoposide,HS 578T,0
Amifostine,Etoposide,HT29,0
Amifostine,Etoposide,IGROV1,0
Amifostine,Etoposide,LOX IMVI,0
Amifostine,Etoposide,MCF7,0
Amifostine,Etoposide,NCI-H460,0
Amifostine,Etoposide,PC-3,0
Amifostine,Etoposide,RPMI-8226,0
Amifostine,Etoposide,SK-MEL-2,0
Amifostine,Etoposide,T-47D,0
Amifostine,Etoposide,UO-31,0
Amifostine,Imiquimod,HS 578T,0
Amifostine,Imiquimod,HT29,0
Amifostine,Imiquimod,IGROV1,0
Amifostine,Imiquimod,LOX IMVI,0
Amifostine,Imiquimod,MCF7,1
Amifostine,Imiquimod,NCI-H460,0
Amifostine,Imiquimod,PC-3,1
Amifostine,Imiquimod,RPMI-8226,0
Amifostine,Imiquimod,SK-MEL-2,0
Amifostine,Imiquimod,T-47D,0
Amifostine,Imiquimod,UO-31,0
Amifostine,Exemestane,HS 578T,0
Amifostine,Exemestane,HT29,0
Amifostine,Exemestane,IGROV1,0
Amifostine,Exemestane,LOX IMVI,0
Amifostine,Exemestane,MCF7,0
Amifostine,Exemestane,NCI-H460,0
Amifostine,Exemestane,PC-3,0
Amifostine,Exemestane,RPMI-8226,0
Amifostine,Exemestane,SK-MEL-2,0
Amifostine,Exemestane,T-47D,0
Amifostine,Exemestane,UO-31,0
Amifostine,Dexrazoxane,HS 578T,1
Amifostine,Dexrazoxane,HT29,0
Amifostine,Dexrazoxane,IGROV1,0
Amifostine,Dexrazoxane,LOX IMVI,0
Amifostine,Dexrazoxane,MCF7,0
Amifostine,Dexrazoxane,NCI-H460,0
Amifostine,Dexrazoxane,PC-3,0
Amifostine,Dexrazoxane,RPMI-8226,1
Amifostine,Dexrazoxane,SK-MEL-2,0
Amifostine,Dexrazoxane,T-47D,1
Amifostine,Dexrazoxane,UO-31,0
Amifostine,Fulvestrant,HS 578T,1
Amifostine,Fulvestrant,HT29,1
Amifostine,Fulvestrant,IGROV1,0
Amifostine,Fulvestrant,NCI-H460,0
Amifostine,Fulvestrant,PC-3,0
Amifostine,Fulvestrant,RPMI-8226,0
Amifostine,Fulvestrant,SK-MEL-2,1
Amifostine,Fulvestrant,T-47D,0
Amifostine,Fulvestrant,UO-31,0
Amifostine,Clofarabine,HS 578T,1
Amifostine,Clofarabine,HT29,0
Amifostine,Clofarabine,IGROV1,1
Amifostine,Clofarabine,LOX IMVI,0
Amifostine,Clofarabine,MCF7,0
Amifostine,Clofarabine,NCI-H460,1
Amifostine,Clofarabine,PC-3,0
Amifostine,Clofarabine,RPMI-8226,1
Amifostine,Clofarabine,T-47D,0
Amifostine,Clofarabine,UO-31,1
Amifostine,Gefitinib,HS 578T,0
Amifostine,Gefitinib,HT29,0
Amifostine,Gefitinib,IGROV1,0
Amifostine,Gefitinib,LOX IMVI,0
Amifostine,Gefitinib,MCF7,0
Amifostine,Gefitinib,NCI-H460,0
Amifostine,Gefitinib,PC-3,0
Amifostine,Gefitinib,SK-MEL-2,0
Amifostine,Gefitinib,T-47D,0
Amifostine,Gefitinib,UO-31,0
Amifostine,Methotrexate,HS 578T,0
Amifostine,Methotrexate,HT29,0
Amifostine,Methotrexate,IGROV1,0
Amifostine,Methotrexate,LOX IMVI,0
Amifostine,Methotrexate,MCF7,0
Amifostine,Methotrexate,NCI-H460,0
Amifostine,Methotrexate,PC-3,0
Amifostine,Methotrexate,RPMI-8226,0
Amifostine,Methotrexate,T-47D,0
Amifostine,Methotrexate,UO-31,0
Amifostine,Abiraterone,HS 578T,0
Amifostine,Abiraterone,HT29,0
Amifostine,Abiraterone,IGROV1,0
Amifostine,Abiraterone,LOX IMVI,0
Amifostine,Abiraterone,MCF7,0
Amifostine,Abiraterone,NCI-H460,1
Amifostine,Abiraterone,PC-3,0
Amifostine,Abiraterone,RPMI-8226,1
Amifostine,Abiraterone,SK-MEL-2,1
Amifostine,Abiraterone,T-47D,0
Amifostine,Abiraterone,UO-31,0
Amifostine,Docetaxel,HS 578T,0
Amifostine,Docetaxel,HT29,0
Amifostine,Docetaxel,IGROV1,1
Amifostine,Docetaxel,LOX IMVI,0
Amifostine,Docetaxel,MCF7,0
Amifostine,Docetaxel,NCI-H460,1
Amifostine,Docetaxel,PC-3,1
Amifostine,Docetaxel,RPMI-8226,0
Amifostine,Docetaxel,T-47D,1
Amifostine,Docetaxel,UO-31,0
Amifostine,Erlotinib,HS 578T,1
Amifostine,Erlotinib,HT29,0
Amifostine,Erlotinib,LOX IMVI,1
Amifostine,Erlotinib,MCF7,0
Amifostine,Erlotinib,NCI-H460,0
Amifostine,Erlotinib,PC-3,0
Amifostine,Erlotinib,RPMI-8226,0
Amifostine,Erlotinib,SK-MEL-2,1
Amifostine,Erlotinib,T-47D,1
Amifostine,Erlotinib,UO-31,0
Amifostine,Lapatinib,HS 578T,1
Amifostine,Lapatinib,HT29,1
Amifostine,Lapatinib,IGROV1,0
Amifostine,Lapatinib,MCF7,0
Amifostine,Lapatinib,NCI-H460,0
Amifostine,Lapatinib,PC-3,1
Amifostine,Lapatinib,RPMI-8226,0
Amifostine,Lapatinib,UO-31,0
Amifostine,Sorafenib,HS 578T,1
Amifostine,Sorafenib,HT29,1
Amifostine,Sorafenib,IGROV1,0
Amifostine,Sorafenib,MCF7,0
Amifostine,Sorafenib,NCI-H460,0
Amifostine,Sorafenib,PC-3,1
Amifostine,Sorafenib,RPMI-8226,1
Amifostine,Sorafenib,SK-MEL-2,1
Amifostine,Sorafenib,T-47D,1
Amifostine,Sorafenib,UO-31,0
Amifostine,Lenalidomide,HS 578T,1
Amifostine,Lenalidomide,HT29,1
Amifostine,Lenalidomide,IGROV1,0
Amifostine,Lenalidomide,LOX IMVI,0
Amifostine,Lenalidomide,MCF7,0
Amifostine,Lenalidomide,NCI-H460,0
Amifostine,Lenalidomide,PC-3,0
Amifostine,Lenalidomide,RPMI-8226,1
Amifostine,Lenalidomide,SK-MEL-2,1
Amifostine,Lenalidomide,T-47D,0
Amifostine,Lenalidomide,UO-31,1
Amifostine,Capecitabine,HS 578T,0
Amifostine,Capecitabine,HT29,0
Amifostine,Capecitabine,IGROV1,0
Amifostine,Capecitabine,MCF7,0
Amifostine,Capecitabine,NCI-H460,0
Amifostine,Capecitabine,PC-3,1
Amifostine,Capecitabine,RPMI-8226,1
Amifostine,Capecitabine,SK-MEL-2,1
Amifostine,Capecitabine,T-47D,0
Amifostine,Capecitabine,UO-31,0
Amifostine,Tretinoin,HS 578T,0
Amifostine,Tretinoin,HT29,1
Amifostine,Tretinoin,IGROV1,0
Amifostine,Tretinoin,LOX IMVI,0
Amifostine,Tretinoin,MCF7,0
Amifostine,Tretinoin,NCI-H460,1
Amifostine,Tretinoin,PC-3,1
Amifostine,Tretinoin,RPMI-8226,0
Amifostine,Tretinoin,T-47D,0
Amifostine,Tretinoin,UO-31,1
Amifostine,Decitabine,HS 578T,0
Amifostine,Decitabine,HT29,0
Amifostine,Decitabine,IGROV1,0
Amifostine,Decitabine,LOX IMVI,1
Amifostine,Decitabine,MCF7,0
Amifostine,Decitabine,NCI-H460,0
Amifostine,Decitabine,PC-3,0
Amifostine,Decitabine,RPMI-8226,0
Amifostine,Decitabine,SK-MEL-2,0
Amifostine,Decitabine,T-47D,0
Amifostine,Decitabine,UO-31,0
Amifostine,Teniposide,HS 578T,0
Amifostine,Teniposide,HT29,0
Amifostine,Teniposide,IGROV1,0
Amifostine,Teniposide,LOX IMVI,0
Amifostine,Teniposide,MCF7,0
Amifostine,Teniposide,NCI-H460,0
Amifostine,Teniposide,PC-3,0
Amifostine,Teniposide,RPMI-8226,0
Amifostine,Teniposide,SK-MEL-2,0
Amifostine,Teniposide,T-47D,0
Amifostine,Teniposide,UO-31,0
Amifostine,Dactinomycin,HS 578T,0
Amifostine,Dactinomycin,HT29,0
Amifostine,Dactinomycin,IGROV1,1
Amifostine,Dactinomycin,LOX IMVI,0
Amifostine,Dactinomycin,MCF7,0
Amifostine,Dactinomycin,NCI-H460,0
Amifostine,Dactinomycin,PC-3,0
Amifostine,Dactinomycin,UO-31,0
Amifostine,Nilotinib,HS 578T,0
Amifostine,Nilotinib,HT29,1
Amifostine,Nilotinib,IGROV1,0
Amifostine,Nilotinib,MCF7,0
Amifostine,Nilotinib,NCI-H460,0
Amifostine,Nilotinib,PC-3,1
Amifostine,Nilotinib,RPMI-8226,1
Amifostine,Nilotinib,SK-MEL-2,1
Amifostine,Nilotinib,T-47D,1
Amifostine,Nilotinib,UO-31,0
Amifostine,2-fluoroAraA (fludarabine),HS 578T,1
Amifostine,2-fluoroAraA (fludarabine),HT29,0
Amifostine,2-fluoroAraA (fludarabine),IGROV1,0
Amifostine,2-fluoroAraA (fludarabine),LOX IMVI,0
Amifostine,2-fluoroAraA (fludarabine),MCF7,0
Amifostine,2-fluoroAraA (fludarabine),NCI-H460,1
Amifostine,2-fluoroAraA (fludarabine),PC-3,0
Amifostine,2-fluoroAraA (fludarabine),RPMI-8226,1
Amifostine,2-fluoroAraA (fludarabine),T-47D,1
Amifostine,2-fluoroAraA (fludarabine),UO-31,1
Amifostine,Mercaptopurine,HS 578T,0
Amifostine,Mercaptopurine,HT29,0
Amifostine,Mercaptopurine,IGROV1,1
Amifostine,Mercaptopurine,LOX IMVI,0
Amifostine,Mercaptopurine,MCF7,0
Amifostine,Mercaptopurine,NCI-H460,0
Amifostine,Mercaptopurine,PC-3,0
Amifostine,Mercaptopurine,RPMI-8226,0
Amifostine,Mercaptopurine,T-47D,0
Amifostine,Mercaptopurine,UO-31,1
Amifostine,Dasatinib,HS 578T,0
Amifostine,Dasatinib,HT29,0
Amifostine,Dasatinib,IGROV1,0
Amifostine,Dasatinib,MCF7,0
Amifostine,Dasatinib,NCI-H460,0
Amifostine,Dasatinib,PC-3,0
Amifostine,Dasatinib,RPMI-8226,0
Amifostine,Dasatinib,T-47D,1
Amifostine,Dasatinib,UO-31,0
Amifostine,Sirolimus (rapamycin),HS 578T,0
Amifostine,Sirolimus (rapamycin),HT29,0
Amifostine,Sirolimus (rapamycin),IGROV1,0
Amifostine,Sirolimus (rapamycin),LOX IMVI,0
Amifostine,Sirolimus (rapamycin),MCF7,0
Amifostine,Sirolimus (rapamycin),NCI-H460,0
Amifostine,Sirolimus (rapamycin),PC-3,0
Amifostine,Sirolimus (rapamycin),RPMI-8226,0
Amifostine,Sirolimus (rapamycin),T-47D,0
Amifostine,Sirolimus (rapamycin),UO-31,0
Amifostine,Sunitinib,HS 578T,0
Amifostine,Sunitinib,HT29,1
Amifostine,Sunitinib,IGROV1,0
Amifostine,Sunitinib,MCF7,0
Amifostine,Sunitinib,NCI-H460,0
Amifostine,Sunitinib,PC-3,1
Amifostine,Sunitinib,RPMI-8226,0
Amifostine,Sunitinib,T-47D,0
Amifostine,Sunitinib,UO-31,0
Amifostine,Axitinib,HS 578T,1
Amifostine,Axitinib,HT29,0
Amifostine,Axitinib,IGROV1,0
Amifostine,Axitinib,LOX IMVI,1
Amifostine,Axitinib,MCF7,0
Amifostine,Axitinib,NCI-H460,1
Amifostine,Axitinib,PC-3,0
Amifostine,Axitinib,RPMI-8226,1
Amifostine,Axitinib,SK-MEL-2,1
Amifostine,Axitinib,T-47D,0
Amifostine,Axitinib,UO-31,0
Amifostine,Crizotinib,HS 578T,0
Amifostine,Crizotinib,HT29,0
Amifostine,Crizotinib,IGROV1,0
Amifostine,Crizotinib,LOX IMVI,0
Amifostine,Crizotinib,MCF7,0
Amifostine,Crizotinib,NCI-H460,1
Amifostine,Crizotinib,PC-3,0
Amifostine,Crizotinib,RPMI-8226,1
Amifostine,Crizotinib,SK-MEL-2,0
Amifostine,Crizotinib,T-47D,1
Amifostine,Crizotinib,UO-31,0
Amifostine,Ruxolitinib,HS 578T,1
Amifostine,Ruxolitinib,HT29,0
Amifostine,Ruxolitinib,IGROV1,0
Amifostine,Ruxolitinib,LOX IMVI,0
Amifostine,Ruxolitinib,MCF7,0
Amifostine,Ruxolitinib,NCI-H460,1
Amifostine,Ruxolitinib,PC-3,0
Amifostine,Ruxolitinib,RPMI-8226,1
Amifostine,Ruxolitinib,SK-MEL-2,0
Amifostine,Ruxolitinib,T-47D,0
Amifostine,Ruxolitinib,UO-31,0
Amifostine,Vemurafenib,HS 578T,0
Amifostine,Vemurafenib,HT29,0
Amifostine,Vemurafenib,IGROV1,0
Amifostine,Vemurafenib,LOX IMVI,0
Amifostine,Vemurafenib,MCF7,0
Amifostine,Vemurafenib,NCI-H460,1
Amifostine,Vemurafenib,PC-3,0
Amifostine,Vemurafenib,RPMI-8226,1
Amifostine,Vemurafenib,SK-MEL-2,0
Amifostine,Vemurafenib,T-47D,0
Amifostine,Vemurafenib,UO-31,0
Amifostine,Everolimus,HS 578T,0
Amifostine,Everolimus,HT29,0
Amifostine,Everolimus,IGROV1,1
Amifostine,Everolimus,MCF7,0
Amifostine,Everolimus,NCI-H460,1
Amifostine,Everolimus,PC-3,1
Amifostine,Everolimus,RPMI-8226,0
Amifostine,Everolimus,SK-MEL-2,1
Amifostine,Everolimus,T-47D,1
Amifostine,Everolimus,UO-31,1
Amifostine,Dacarbazine,HS 578T,1
Amifostine,Dacarbazine,HT29,1
Amifostine,Dacarbazine,IGROV1,0
Amifostine,Dacarbazine,LOX IMVI,0
Amifostine,Dacarbazine,MCF7,1
Amifostine,Dacarbazine,NCI-H460,0
Amifostine,Dacarbazine,PC-3,0
Amifostine,Dacarbazine,RPMI-8226,1
Amifostine,Dacarbazine,SK-MEL-2,1
Amifostine,Dacarbazine,T-47D,1
Amifostine,Dacarbazine,UO-31,0
Amifostine,Allopurinol,HS 578T,0
Amifostine,Allopurinol,HT29,0
Amifostine,Allopurinol,IGROV1,0
Amifostine,Allopurinol,MCF7,0
Amifostine,Allopurinol,NCI-H460,0
Amifostine,Allopurinol,PC-3,0
Amifostine,Allopurinol,RPMI-8226,0
Amifostine,Allopurinol,SK-MEL-2,0
Amifostine,Allopurinol,T-47D,0
Amifostine,Allopurinol,UO-31,0
Anastrozole,Busulfan,HS 578T,0
Anastrozole,Busulfan,HT29,0
Anastrozole,Busulfan,IGROV1,0
Anastrozole,Busulfan,LOX IMVI,1
Anastrozole,Busulfan,MCF7,0
Anastrozole,Busulfan,NCI-H460,1
Anastrozole,Busulfan,PC-3,0
Anastrozole,Busulfan,RPMI-8226,1
Anastrozole,Busulfan,SK-MEL-2,1
Anastrozole,Busulfan,T-47D,0
Anastrozole,Busulfan,UO-31,1
Anastrozole,Celecoxib,HS 578T,0
Anastrozole,Celecoxib,HT29,1
Anastrozole,Celecoxib,IGROV1,0
Anastrozole,Celecoxib,LOX IMVI,0
Anastrozole,Celecoxib,MCF7,0
Anastrozole,Celecoxib,NCI-H460,0
Anastrozole,Celecoxib,PC-3,0
Anastrozole,Celecoxib,RPMI-8226,0
Anastrozole,Celecoxib,T-47D,0
Anastrozole,Celecoxib,UO-31,0
Anastrozole,Chlorambucil,HS 578T,0
Anastrozole,Chlorambucil,HT29,0
Anastrozole,Chlorambucil,IGROV1,0
Anastrozole,Chlorambucil,LOX IMVI,0
Anastrozole,Chlorambucil,MCF7,0
Anastrozole,Chlorambucil,NCI-H460,0
Anastrozole,Chlorambucil,PC-3,0
Anastrozole,Chlorambucil,RPMI-8226,0
Anastrozole,Chlorambucil,SK-MEL-2,0
Anastrozole,Chlorambucil,T-47D,0
Anastrozole,Chlorambucil,UO-31,0
Anastrozole,Cyclophosphamide,HS 578T,1
Anastrozole,Cyclophosphamide,HT29,0
Anastrozole,Cyclophosphamide,IGROV1,0
Anastrozole,Cyclophosphamide,LOX IMVI,0
Anastrozole,Cyclophosphamide,MCF7,0
Anastrozole,Cyclophosphamide,NCI-H460,0
Anastrozole,Cyclophosphamide,PC-3,0
Anastrozole,Cyclophosphamide,RPMI-8226,0
Anastrozole,Cyclophosphamide,T-47D,0
Anastrozole,Cyclophosphamide,UO-31,0
Anastrozole,5-Fluorouracil,HS 578T,0
Anastrozole,5-Fluorouracil,HT29,0
Anastrozole,5-Fluorouracil,IGROV1,1
Anastrozole,5-Fluorouracil,LOX IMVI,0
Anastrozole,5-Fluorouracil,MCF7,1
Anastrozole,5-Fluorouracil,NCI-H460,0
Anastrozole,5-Fluorouracil,PC-3,1
Anastrozole,5-Fluorouracil,RPMI-8226,0
Anastrozole,5-Fluorouracil,SK-MEL-2,0
Anastrozole,5-Fluorouracil,T-47D,0
Anastrozole,5-Fluorouracil,UO-31,0
Anastrozole,Ifosfamide,HS 578T,0
Anastrozole,Ifosfamide,HT29,0
Anastrozole,Ifosfamide,IGROV1,0
Anastrozole,Ifosfamide,LOX IMVI,0
Anastrozole,Ifosfamide,MCF7,0
Anastrozole,Ifosfamide,NCI-H460,0
Anastrozole,Ifosfamide,PC-3,0
Anastrozole,Ifosfamide,RPMI-8226,1
Anastrozole,Ifosfamide,T-47D,0
Anastrozole,Ifosfamide,UO-31,0
Anastrozole,Letrozole,HS 578T,0
Anastrozole,Letrozole,HT29,1
Anastrozole,Letrozole,IGROV1,0
Anastrozole,Letrozole,LOX IMVI,0
Anastrozole,Letrozole,MCF7,0
Anastrozole,Letrozole,NCI-H460,1
Anastrozole,Letrozole,PC-3,0
Anastrozole,Letrozole,RPMI-8226,1
Anastrozole,Letrozole,T-47D,0
Anastrozole,Letrozole,UO-31,0
Anastrozole,Methoxsalen,HS 578T,1
Anastrozole,Methoxsalen,HT29,0
Anastrozole,Methoxsalen,IGROV1,0
Anastrozole,Methoxsalen,LOX IMVI,0
Anastrozole,Methoxsalen,MCF7,0
Anastrozole,Methoxsalen,NCI-H460,0
Anastrozole,Methoxsalen,PC-3,0
Anastrozole,Methoxsalen,RPMI-8226,1
Anastrozole,Methoxsalen,T-47D,0
Anastrozole,Methoxsalen,UO-31,1
Anastrozole,Mitotane,HS 578T,0
Anastrozole,Mitotane,HT29,1
Anastrozole,Mitotane,IGROV1,1
Anastrozole,Mitotane,LOX IMVI,1
Anastrozole,Mitotane,MCF7,0
Anastrozole,Mitotane,NCI-H460,0
